,AIRCRAFT,Turbulence_Category
1511,C430,U
1512,738,U
1513,Z42,U
1514,GL20,U
1515,280,U
1516,CL3,U
1517,S3,U
1518,B400,U
1519,B328,U
1520,P31P,U
1521,SK60,U
1522,B14,U
1523,E45,U
1524,FA28,U
1525,744,U
1526,GLS1,U
1527,F50,U
1528,A317,U
1529,B752 B733,U
1530,S340,U
1531,BH17,U
1532,HELICOPT,U
1533,BEA3,U
1534,PS34,U
1535,HSKY,U
1536,CH9B,U
1537,SH34,U
1538,BE3V,U
1539,W4,U
1540,BD55,U
1541,733,U
1542,B55,U
1543,P48,U
1544,MO22,U
1545,CJ35,U
1546,9A18,U
1547,CH2,U
1548,TRJ2,U
1549,B463,U
1550,PAYI,U
1551,FA5,U
1552,B117,U
1553,BD35,U
1554,LAKE,U
1555,C55S,U
1556,A329,U
1557,B758,U
1558,AA1A,U
1559,C447,U
1560,M600,U
1561,BN29,U
1562,C026,U
1563,B737; LR35,U
1564,D8,U
1565,C40,U
1566,B335,U
1567,M83,U
1568,C2,U
1569,PAY6,U
1570,CK28,U
1571,BASS,U
1572,L2B,U
1573,BU20,U
1574,B340,U
1575,BASES 030,U
1576,BLMP,U
1577,MC50,U
1578,S10S,U
1579,ME90,U
1580,LEZ,U
1581,B737 B733,U
1582,B757 A320,U
1583,MO29,U
1584,115,U
1585,ICT,U
1586,BD83,U
1587,RJC,U
1588,L188,U
1589,TA15,U
1590,S58T,U
1591,B58,U
1592,SW33,U
1593,C18S,U
1594,KC35R,U
1595,M182,U
1596,PA64,U
1597,BC12,U
1598,MMV-,U
1599,P287,U
1600,MD30,U
1601,B19,U
1602,SHD,U
1603,LEG2,U
1604,DA08,U
1605,N757,U
1606,TAYD,U
1607,UH12,U
1608,B75,U
1609,RB7,U
1610,R185,U
1611,M28B,U
1612,BE3,U
1613,HU25,U
1614,LS88,U
1615,SREY,U
1616,B132,U
1617,CX206,U
1618,PBY,U
1619,B100,U
1620,B7737,U
1621,GB747,U
1622,B57,U
1623,J320,U
1624,PA47,U
1625,CL70,U
1626,DHC,U
1627,MNRS,U
1628,CS12,U
1629,M7G,U
1630,C570,U
1631,RJ85,U
1632,BRD,U
1633,PA34G,U
1634,EC55,U
1635,C306,U
1636,MD8E,U
1637,7GCA,U
1638,SMPY,U
1639,SRJ2,U
1640,N,U
1641,C427,U
1642,P2V,U
1643,C202,U
1644,CR52,U
1645,TL65,U
1646,370,U
1647,CITATION,U
1648,SVRL HVY,U
1649,SH3,U
1650,AS43,U
1651,PT46,U
1652,SF3B,U
1653,DC86,U
1654,CV76,U
1655,PC6,U
1656,A135,U
